#Source_Name,ASSOC_GAM,ASSOC_TEV,CLASS,ASSOC1,ASSOC2,Flags
4FGL J0140.5-4730,,,,,,4
4FGL J0140.6-0758,,,bll,RX J0140.7-0758,,0
4FGL J0140.6+8736,3FGL J0139.9+8735,,bcu,WN B0126.6+8722,,0
4FGL J0141.4-0928,3FHL J0141.4-0928,,bll,PKS 0139-09,,0
4FGL J0142.5+6650,,,,,,1
4FGL J0142.7-0543,,,bll,PKS 0140-059,,0
4FGL J0143.1-3622,,,bcu,PMN J0143-3623,,0
4FGL J0143.5-3156,,,bcu,PKS 0140-322,,0
4FGL J0143.7-5846,3FHL J0143.8-5846,,bll,SUMSS J014347-584550,,0
4FGL J0144.3+5959,,,,,,1
4FGL J0144.6+2705,3FHL J0144.5+2705,,bll,TXS 0141+268,,0
4FGL J0145.0-2732,3FGL J0145.1-2732,,fsrq,PKS 0142-278,,0
4FGL J0146.0-6746,3FGL J0146.4-6746,,bcu,SUMSS J014554-674646,,0
4FGL J0146.3+4606,,,bcu,2MASS J01462656+4606181,,0
4FGL J0146.9-5202,3FHL J0146.8-5203,,bll,PKS 0144-522,,0
4FGL J0147.7-1321,,,,,,0
4FGL J0148.2+5201,3FHL J0148.2+5201,,bll,GB6 J0148+5202,,0
4FGL J0148.6+0127,3FHL J0148.6+0127,,bll,PMN J0148+0129,,0
4FGL J0149.6-0734,,,bcu,GALEXASC J014941.36-073354.9,,0
4FGL J0150.4+4848,3FGL J0149.6+4846,,,,,2052
4FGL J0150.6-5448,3FHL J0150.6-5450,,bcu,PMN J0150-5450,,0
4FGL J0151.0+0539,3FHL J0151.0+0539,,bcu,PMN J0151+0540,,0
4FGL J0151.3+8601,3FHL J0148.4+8601,,bll,WN B0140.0+8546,,0
4FGL J0151.4-3607,3FGL J0151.0-3609,,bcu,PMN J0151-3605,,0
4FGL J0151.7+5455,,,bcu,7C 0148+5439,,0
4FGL J0152.2+3714,3FGL J0152.2+3707,,bcu,B2 0149+37,,0
4FGL J0152.2+2206,3FGL J0151.6+2205,,fsrq,PKS 0149+21,,0
